goodsId,name,price,productType,transferService,publisher,serverName,pkServer,detailUrl,status,listedAt,firstSeenAt,lastSeenAt,gold,totalFiveStarGenerals,sTactics,specialOrangeEquipment,detailHeroCount,detailUniqueHeroCount,importantHeroMatchedCount,sp曹操,sp貂蝉,sp卢植,sp关羽,sp法正,马岱,刘备,sp马超,sp皇甫嵩,许攸,sp荀彧,sp郭嘉,贾诩,荀攸,孙尚香,孙权,凌统,周泰,sp周瑜,陆逊,sp吕蒙,sp诸葛亮,关兴,张苞,诸葛亮,sp袁绍,沮授,sp朱儁,庞统,姜维,关羽,关银屏,张飞,sp黄月英,司马懿,曹操,满宠,张角,左慈,于吉,张辽,郭嘉,王元姬,诸葛恪,missingRequiredTactics,missingCoreEquipmentSkills,detailError
商品ID,商品标题,价格,商品类型,账号转移,客户端,服务器,PK服务器,商品链接,当前状态,商品上架时间,首次记录时间,最后记录时间,金珠,橙色武将数量,S战法数量,橙装数量,武将记录数,去重武将数,重要武将命中数,sp曹操,sp貂蝉,sp卢植,sp关羽,sp法正,马岱,刘备,sp马超,sp皇甫嵩,许攸,sp荀彧,sp郭嘉,贾诩,荀攸,孙尚香,孙权,凌统,周泰,sp周瑜,陆逊,sp吕蒙,sp诸葛亮,关兴,张苞,诸葛亮,sp袁绍,沮授,sp朱儁,庞统,姜维,关羽,关银屏,张飞,sp黄月英,司马懿,曹操,满宠,张角,左慈,于吉,张辽,郭嘉,王元姬,诸葛恪,缺失关键战法,缺失核心装备特技,detailError
1779118064385871,物超所值30号开区3000区段,2750,成品号,是,小米,2434服 销声匿迹/PK25162,PK25162,https://www.jiaoyimao.com/jg1009207/1779118064385871.html?isGray=true,在售,,2026-06-18 11:09:44,2026-06-18 11:35:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"page.goto: Target page, context or browser has been closed"
1758643654051500,超级划算捡漏号,1700,成品号,是,九游,3521服 瑕不掩瑜/PK19279,PK19279,https://www.jiaoyimao.com/jg1009207/1758643654051500.html?isGray=true,在售,,2026-06-18 11:09:44,2026-06-18 11:35:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"page.goto: Target page, context or browser has been closed"
1781576521653727,刚九州新赛季,2666,成品号,是,小米,福建1服 鼓浪屿/PK25195,PK25195,https://www.jiaoyimao.com/jg1009207/1781576521653727.html?isGray=true,在售,,2026-06-18 11:09:44,2026-06-18 11:35:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"page.goto: Target page, context or browser has been closed"
1779891592265773,满红麒麟。满红许攸,1666,成品号,是,小米,1011服 声势汹汹/PK25006,PK25006,https://www.jiaoyimao.com/jg1009207/1779891592265773.html?isGray=true,在售,,2026-06-18 11:09:44,2026-06-18 11:35:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"page.goto: Target page, context or browser has been closed"
1781432298592435,有山河令牌，看描述,3055.55,成品号,是,小米,3595服 人中骐骥/PK25064,PK25064,https://www.jiaoyimao.com/jg1009207/1781432298592435.html?isGray=true,在售,,2026-06-18 11:09:44,2026-06-18 11:35:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"page.goto: Target page, context or browser has been closed"
1774056160924350,微瑕疵4幻神,65000,成品号,是,OPPO,2625服 焕然如新/PK25158,PK25158,https://www.jiaoyimao.com/jg1009207/1774056160924350.html?isGray=true,在售,,2026-06-18 11:09:44,2026-06-18 11:35:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"page.goto: Target page, context or browser has been closed"
1781616087120698,雁形慷慨，完美共存,1688,成品号,是,九游,2529服 怡然自乐/PK25166,PK25166,https://www.jiaoyimao.com/jg1009207/1781616087120698.html?isGray=true,在售,,2026-06-18 11:09:44,2026-06-18 11:35:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"page.goto: Target page, context or browser has been closed"
1780327665672542,典藏四红法正，回5300区,1500,成品号,是,九游,3004服 温故知新/PK21301,PK21301,https://www.jiaoyimao.com/jg1009207/1780327665672542.html?isGray=true,在售,,2026-06-18 11:09:44,2026-06-18 11:35:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"page.goto: Target page, context or browser has been closed"
1780653866127204,城意出售不议价,24500,成品号,是,九游,4552服 岳峙渊渟/PK19294,PK19294,https://www.jiaoyimao.com/jg1009207/1780653866127204.html?isGray=true,在售,,2026-06-18 11:09:44,2026-06-18 11:35:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"page.goto: Target page, context or browser has been closed"
1759505966274212,麒麟太尉富贵等满红号,8200,成品号,是,九游,4611服 戎马倥惚/PK25126,PK25126,https://www.jiaoyimao.com/jg1009207/1759505966274212.html?isGray=true,在售,,2026-06-18 11:09:44,2026-06-18 11:35:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"page.goto: Target page, context or browser has been closed"
1781494111655514,小小大汉弓,36000,成品号,是,九游,4575服 刚直不阿/PK25134,PK25134,https://www.jiaoyimao.com/jg1009207/1781494111655514.html?isGray=true,在售,,2026-06-18 11:09:44,2026-06-18 11:35:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"page.goto: Target page, context or browser has been closed"
1775430852211001,黑马富贵北伐麒麟关关丨求贤满,3000,成品号,是,九游,1402服 画地为牢/PK21279,PK21279,https://www.jiaoyimao.com/jg1009207/1775430852211001.html?isGray=true,在售,,2026-06-18 11:09:44,2026-06-18 11:35:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"page.goto: Target page, context or browser has been closed"
1780210417502895,神威沉势雍雅快出山河今了,6666,成品号,是,九游,1363服 鸣鼓攻之/PK25025,PK25025,https://www.jiaoyimao.com/jg1009207/1780210417502895.html?isGray=true,在售,,2026-06-18 11:09:44,2026-06-18 11:35:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"page.goto: Target page, context or browser has been closed"
1775888306143770,满红皇马太尉麒麟三仙吴骑社稷,7888,成品号,是,小米,2767服 皆大欢喜/PK25160,PK25160,https://www.jiaoyimao.com/jg1009207/1775888306143770.html?isGray=true,在售,,2026-06-18 11:09:44,2026-06-18 11:35:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"page.goto: Target page, context or browser has been closed"
1781239125963091,满皇马网红枪渊骑双雍雅神威雄烈,1680,成品号,是,九游,4816服 军行九变/PK25138,PK25138,https://www.jiaoyimao.com/jg1009207/1781239125963091.html?isGray=true,在售,,2026-06-18 11:09:44,2026-06-18 11:35:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"page.goto: Target page, context or browser has been closed"
1781536659093735,满红三仙丨皇马枪丨五谋骑,1888,成品号,是,九游,3668服 海天一色/PK21285,PK21285,https://www.jiaoyimao.com/jg1009207/1781536659093735.html?isGray=true,在售,,2026-06-18 11:09:44,2026-06-18 11:35:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"page.goto: Target page, context or browser has been closed"
1779717363828075,三幻神有藏器和鉴时,29500,成品号,是,九游,争霸75服||东北/PK24173,PK24173,https://www.jiaoyimao.com/jg1009207/1779717363828075.html?isGray=true,在售,,2026-06-18 11:09:44,2026-06-18 11:35:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"page.goto: Target page, context or browser has been closed"
