goodsId,name,publisher,price,detailUrl,gameOs,cid,pid,systemCid,sceneId,totalFiveStarGenerals,sTactics,seasonStartDays,experiencedSeasons,specialOrangeEquipment,recruitmentCurrent,recruitmentTarget,transferStatus,wantedCount,publishedAgo,detailScrapeStatus,detailError,detailHeroCount,detailUniqueHeroCount,importantHeroMatchedCount,sp曹操,sp貂蝉,sp卢植,sp关羽,sp法正,马岱,刘备,sp马超,sp皇甫嵩,许攸,sp荀彧,sp郭嘉,贾诩,荀攸,孙尚香,孙权,凌统,周泰,sp周瑜,陆逊,sp吕蒙,sp诸葛亮,关兴,张苞,诸葛亮,sp袁绍,沮授,sp朱儁,庞统,姜维,关羽,关银屏,张飞,sp黄月英,司马懿,曹操,满宠,张角,左慈,于吉,张辽,郭嘉,王元姬,诸葛恪
商品ID,商品标题,卖家,价格,商品链接,游戏系统,类目ID,父类目ID,系统类目ID,场景ID,橙色武将数量,S战法数量,赛季开始时间,经历赛季,特技橙装数量,求贤当前值,求贤目标值,转区状态,想要人数,发布时间,详情采集状态,详情采集错误,武将记录数,去重武将数,重要武将命中数,sp曹操,sp貂蝉,sp卢植,sp关羽,sp法正,马岱,刘备,sp马超,sp皇甫嵩,许攸,sp荀彧,sp郭嘉,贾诩,荀攸,孙尚香,孙权,凌统,周泰,sp周瑜,陆逊,sp吕蒙,sp诸葛亮,关兴,张苞,诸葛亮,sp袁绍,沮授,sp朱儁,庞统,姜维,关羽,关银屏,张飞,sp黄月英,司马懿,曹操,满宠,张角,左慈,于吉,张辽,郭嘉,王元姬,诸葛恪
1778107934612037,5097服 PK19283 赛季开始45天,PK19283|5097服 雍容大度,36666,https://www.jiaoyimao.com/jg1009207/1778107934612037.html?isGray=true,安卓,1844430,1844418,1583289221280506,750,987,118,45,14,79,2358,3000,117天后可跨区转服,10,,success,,145,101,47,0红,1红,典藏2红,典藏5红,动态5红,典藏1红,5红,动态5红,典藏5红,动态5红,典藏5红,典藏5红,动态5红,0,动态5红,0红,典藏5红,典藏5红,0,动态3红,典藏0红,典藏3红,典藏4红,典藏3红,动态5红,典藏3红,动态5红,典藏3红,动态5红,典藏1红,动态0红,典藏3红,典藏5红,0,典藏5红,典藏5红,典藏5红,典藏5红,动态5红,3红,典藏4红,典藏0红,0,典藏5红
1780794139268602,652服 PK25043 赛季开始59天,PK25043|652服 刀山火海,45999,https://www.jiaoyimao.com/jg1009207/1780794139268602.html?isGray=true,安卓,1844430,1844418,1583289698165007,750,1316,136,59,27,107,3228,3300,可跨区转服,,,success,,222,159,69,典藏0红,0,0,典藏5红,动态5红,0,5红,动态5红,典藏5红,动态5红,典藏5红,典藏5红,动态5红,0,典藏5红,5红,典藏5红,典藏5红,动态5红,动态5红,典藏5红,典藏5红,典藏5红,典藏5红,动态5红,典藏5红,动态5红,典藏5红,动态5红,典藏5红,典藏5红,动态5红,典藏动态5红,5红,典藏5红,典藏5红,典藏5红,动态5红,动态5红,5红,典藏5红,典藏5红,5红,典藏5红
1780107934286954,5034服 PK19296 赛季开始24天,PK19296|5034服 襟山带河,268,https://www.jiaoyimao.com/jg1009207/1780107934286954.html?isGray=true,安卓,1844430,1844418,1583289221280506,750,250,53,24,10,17,246,2100,可跨区转服,1,,success,,143,85,19,0,0,0,1红,0,0,0红,0红,1红,0,0,0,0红,0,0红,0,典藏0红,0,0红,0,0,0,0,1红,0,0,0红,0,0,0红,0,0,1红,0红,0,0红,0,4红,0,0红,0,2红,0红,1红
1779878737591644,5230服 PK25094 赛季开始45天,PK25094|5230服 江涵秋影,318,https://www.jiaoyimao.com/jg1009207/1779878737591644.html?isGray=true,安卓,1844430,1844418,1583289221280506,750,155,42,45,9,11,250,2100,126天后可跨区转服,3,,success,,50,33,15,0,0,0,典藏0红,0,0,0红,典藏2红,0红,0红,典藏0红,0,0,0,0,0,0,0,0红,0,0,0,0,0红,0,0,0,0,0,0,0,典藏0红,4红,0,0,典藏0红,0,1红,0,0,典藏0红,0红,0,0
1780027333635364,6363服 赛季开始22天,6363服 雕天琢云|6363服 雕天琢云,20,https://www.jiaoyimao.com/jg1009207/1780027333635364.html?isGray=true,安卓,1844430,1844418,1583289221280506,750,21,,22,0,,16,1800,,,,success,,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1780044862756989,4587服 PK19296 赛季开始24天,PK19296|4587服 故我依然,1666,https://www.jiaoyimao.com/jg1009207/1780044862756989.html?isGray=true,安卓,1844430,1844418,1583289698165007,750,444,103,24,27,84,597,3000,可跨区转服,18,,success,,41,41,26,0,0,典藏0红,典藏5红,0,典藏0红,1红,0,0,0红,典藏3红,0,0红,0,典藏2红,5红,0红,典藏4红,典藏3红,0,2红,典藏5红,0,0,0,0红,4红,典藏4红,0红,典藏1红,典藏4红,4红,典藏5红,0,典藏2红,0红,0,典藏3红,3红,0,0,0,0,0
1779899557631628,4821服 PK25149 赛季开始24天,PK25149|4821服 温习军略,33,https://www.jiaoyimao.com/jg1009207/1779899557631628.html?isGray=true,安卓,1844430,1844418,1583289221280506,750,63,29,24,7,7,1572,1800,可跨区转服,,,success,,23,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0红,0,0红,0,0,0,0,0,0,0,0,0,0,0,0红,0红,0红,典藏0红,典藏1红,3红,0,0,0,0,0,0,0,0
1779866367247733,6208服 S22088 赛季开始37天,S22088|6208服 马健人安,150,https://www.jiaoyimao.com/jg1009207/1779866367247733.html?isGray=true,安卓,1844430,1844418,1583289221280506,750,74,14,37,1,4,516,1800,,1,,success,,49,35,7,0,0,0红,0,0,0,1红,0,0,0红,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0红,0,0红,0,0,0,0,0红,0红,0,0,0,0,0
1779962572832427,5335服 PK25220 赛季开始3天,PK25220|5335服 下交不渎,66,https://www.jiaoyimao.com/jg1009207/1779962572832427.html?isGray=true,安卓,1844430,1844418,1583289221280506,750,136,51,3,8,16,620,2100,可跨区转服,4,,success,,48,36,18,0,0,0,典藏1红,0,0,0红,0红,0,0红,0,0,0,0,0,0红,0红,1红,0,0,0,0,典藏0红,0,0,0红,0,0,0,0,典藏0红,0红,0红,0,0红,0,2红,0,0红,0,0,0,0,0红
1780640169683886,争霸201服||江苏 PK25050 赛季开始59天,PK25050|争霸201服||江苏,588,https://www.jiaoyimao.com/jg1009207/1780640169683886.html?isGray=true,安卓,1844430,1844418,1583289221280506,750,198,49,59,7,29,1594,1800,可跨区转服,,,success,,91,58,18,0,0,0,0,0,0,0红,0红,0,2红,2红,1红,0红,0红,0,0,0,1红,0,0,0红,典藏0红,0,0,0,0,0红,0,0,0,0红,0,0红,0,1红,0,典藏1红,0,0,0红,0红,典藏2红,0,0
